"Sample","DoB_2","DoB_4","DoB_6","DoB_8","DoB_11","DoB_13","DoB_15","DoB_17","DoS_3","DoS_5","DoS_7","DoS_9","DoS_12","DoS_14","DoS_16","DoS_18","QC_1","QC_10","QC_19"
"Lable","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoS","DoS","DoS","DoS","DoS","DoS","DoS","DoS","QC","QC","QC"
"M1016T359",401.561529728933,242.294684702877,518.598464169776,558.377790708206,292.819827129786,397.854202932365,472.531615486846,271.767552803552,343.40803713819,324.022884378003,387.241000391625,320.659142477436,341.531893311435,199.96339151342,416.97066303673,104.513828829989,403.133175367857,534.8447175235,501.003979322327
"M1018T175_1",251.676124775312,1914.05694115795,365.850015049047,922.127212492364,1778.97628400518,555.753890205514,1306.25575267816,1504.86640237451,1469.68139692947,1504.6158717939,1361.08998721718,1228.2417202082,1259.09626437108,1024.81566651357,1001.39789056866,1289.81869475139,1551.35477632723,1272.81347806361,1099.02425027987
"M1018T175_2",2994.43523621789,6088.8968230454,4803.56853763486,3531.30073901064,6154.70674148419,3057.14326056934,5606.32230128152,5682.14487468146,4747.81144718368,4154.03255288104,5554.29795966232,5222.18132823552,4756.97265268634,3187.82737598876,4078.77168245615,4227.28426876902,3358.01258561729,4591.88426817007,4023.00407709715
"M1018T204",1370.67892305625,1106.64284157581,915.567978063408,1231.85088658986,1416.90482930427,1145.13477580442,1221.41790597923,1010.71069516077,2259.47197753677,1850.02209606926,1948.59863173245,1539.25877393451,1196.14786342522,2027.73731776685,1368.54465484543,1438.71669744987,1575.07451216063,1016.8983856908,1208.98630868277
"M1018T386",1630.0168914906,250.589611570448,1407.79546001974,1256.90240101533,1061.34064548582,708.282173454329,462.587838211039,1105.47332801588,6756.13627962897,6904.23009735593,7309.07698909036,6370.3747954325,6236.67700930318,7501.02152874298,7256.23501777186,6133.17753683776,2028.77476384172,2665.49204382142,2660.91951013293
"M1019T175_1",565.285971531126,4271.50217246938,1675.91154492797,1288.46574663587,4956.54439647094,2001.83303635746,2182.7851602707,2510.0933668065,2704.75877721279,2337.69639782326,3289.07411219693,3034.00902451417,2049.08053046397,2465.64842489493,3013.34618930906,2203.11029249726,2349.26055906619,2182.23835620253,2153.10041723379
"M1019T175_2",1634.68848641433,3373.79379051987,1860.9840184368,1913.88999029389,3323.69820081443,1721.71350599356,2555.05620295958,2785.96887276574,2715.05930887857,2887.5923832121,2952.64490986826,2152.52719684985,2089.50066627063,2393.47633477698,2149.79141156113,2649.75735838405,1919.76791989942,1977.6117557929,2395.20727783764
"M1019T175_3",732.333098925429,2244.22475982503,726.630470661322,881.373817295161,2003.50115828385,905.299129593186,1384.3308461745,1634.46256461833,1430.77557975243,1072.13841610735,1196.91490394507,1222.06534632982,1275.88300754665,1750.33664852308,1310.8048189436,1229.84289792996,1125.49848655648,1209.51658064205,985.924233144382
"M1019T319",3297.19204244887,2659.10356178947,3234.39811013255,3325.54832581555,2394.22605371717,3843.30192545291,2943.69215450126,3017.14642745963,68.1484404633685,81.0045392006639,19.1024373566803,364.612018712729,109.109363929114,60.5778706615553,33.3079179285948,242.358794504128,1871.85193355321,2378.48280096673,2211.55555573029
"M1019T386",845.481628842766,195.510135270862,310.954297375827,511.923257717954,571.118037515369,729.936905097539,609.363490007491,139.201722452662,4259.60219132765,4997.46786460317,5945.46288725445,3833.48541287159,3473.9745479964,2858.05373243147,3958.31616810591,3129.43420517448,2412.5794607973,2483.48483661487,2315.59680021674
"M101T487_1",915.167403868028,798.830780167708,725.642158640441,783.105931703283,755.049773840568,456.065847117355,618.636568102138,966.26580578437,989.3984006987,736.340806153595,1048.76459454307,1024.87720536206,695.241237307177,965.919879397968,1197.75906333488,700.230313440538,800.509887965817,1121.23224419399,627.631509765891
"M101T487_2",1697.95935368998,1114.06246493957,2092.42112346062,1844.48204775003,758.770209842246,1958.12906865376,1525.00095555707,1354.04186602711,1624.72013076589,1918.77496547159,2383.6497860395,2618.32156495604,2184.41749465526,1914.64100201507,2028.21240014662,2277.62139057328,1870.71607779462,2287.33990326777,1896.7104983949
"M101T54",3773.75531443709,4013.12086567599,2671.48467053903,4037.34556016928,4051.73433343357,4053.92574639987,3299.7709931145,2784.94273273896,6140.40110489923,10279.1727549652,6724.2303700658,8383.88457735845,7975.32633320829,4664.13351141665,7446.64054870036,6899.80829535201,6426.44832003902,5300.86243807129,6023.86578670908
"M101T99",4020.51245214148,4108.23468757091,3843.8889866699,4297.03521397101,6692.6255170722,5302.99157668916,3489.97881854281,4858.29931044354,6660.8461918523,5295.3599594256,5690.17867422367,5042.85700150665,7419.02524278274,6933.80470861233,5567.53413047237,6261.12122158034,6030.75929387948,5757.31635904744,4516.83896839826
"M1020T199_1",729.252285041214,1936.61418876362,1121.28042591393,728.033941672161,1642.41348696149,755.563300029734,1029.57722525148,1478.71103603656,1888.10592627301,2561.95381472605,2275.91040030516,2327.91124727175,2202.76997728141,1904.83495852058,2634.36395236497,2528.31412273322,1332.20411475092,1402.08605440466,861.699030610349
"M1020T199_2",1934.55303914488,3694.80209342085,2094.93547578136,1887.72753967725,4314.93307761988,2377.47738326241,3204.19121024694,3005.81625143432,5605.89817038302,5242.61197119522,5509.39659367443,5846.16615512925,5676.88342356268,5550.4430087235,4919.25544652485,5359.23821649423,4108.63664807648,3929.90318585326,3898.78089691239
"M1020T199_3",7107.42504757057,6762.65325931586,3627.37673537324,3840.90837791065,7229.69001695919,4913.5578322926,6022.61059185464,5020.01987555868,6060.23028669527,6005.58133088287,5286.80922897754,5505.54696240532,5166.13687272278,6138.81384498455,5438.86090829994,5842.74005191459,4199.06782374715,4041.04938542647,4148.71535316251
"M1020T200",2615.20478612709,4319.46439567816,3381.50519829036,2594.45303683142,5081.86396262919,2523.44873514867,3462.49570318565,3521.22073706256,5577.46514146958,5709.99977079488,5553.57170265545,6034.59593794368,4408.46866010379,5650.05956692369,5447.9491961781,5854.87926453598,4081.63300986181,3211.82210227745,3126.55902674095
"M1020T237",935.255656613244,1102.73033658055,863.89956552957,1052.05479769677,1043.24530730088,1959.96310658837,1307.6288665076,1115.58453203473,1131.06155833995,1136.48656663893,1143.32058433084,1178.26605357135,1071.44209266584,1050.71137052917,1493.82545071609,553.318336655963,1179.93405645457,862.469596240234,1070.69002518857
"M1020T319",1939.70916156456,1575.28393250341,2119.30451641904,1842.47739721853,1407.79809371809,2319.36026234643,2044.44931160451,2201.6968055408,41.4782388301319,31.5679454237881,236.750747552613,55.2844568234369,33.441147054731,58.5925846134098,33.1699373976133,13.8419349775186,1127.30703321948,1282.0860810356,1682.53590592343
"M1020T370",808.752405696869,714.043945521594,1328.60457965026,1252.87791376541,513.48213244126,968.187770457283,936.733328068543,965.604949832953,3010.74780800238,3066.34653827491,4618.35563909262,5004.82765392777,4356.6615201027,3748.32227443937,5136.70494942928,3030.4977902953,1755.15999376525,1567.63007235541,2068.17216518537
"M1021T200",410.758535158216,1251.63842040443,1491.72784295867,954.706547206099,2363.46843054653,921.776362437425,1724.8035011483,1391.23256075982,3124.2155275239,2657.88908695804,3117.97186419892,2491.32828477567,2223.42026906267,2251.35082874932,2537.59266614015,2610.44335109683,2170.69904184267,2151.60123807456,1612.96256469291
"M1021T368",455.189705687787,528.475976963956,835.380247001126,736.979757718554,307.473162956115,755.841387368726,311.903209145977,536.104092626638,1760.33774258474,3921.45837766752,1557.53535359408,2332.33680393544,1210.47646967315,1286.39006936908,2069.49685312307,1529.05687018636,899.910551900089,893.461769645838,1288.62707607036
"M1022T261",467.811977914384,623.552408626297,569.162577735422,733.281211089696,564.101227823686,455.358659198928,396.602450683047,504.796551480567,729.843400448845,735.606391317006,722.563010494216,642.413755621111,758.040696741305,979.4451447313,589.57559489576,731.282218366288,505.194184455264,608.705219109542,601.450125021459
"M1022T477",3929.83788619845,1532.2542316861,1378.46705410732,2491.48083675565,1099.95153402281,3156.86038460492,2601.3657058041,3267.06696763788,1594.81665294571,1942.12504916872,1922.76829191385,933.554703993554,1674.40475471917,2217.34740306745,2359.50020231287,2758.14259566776,1676.71974950429,1977.42199108578,2338.84796985839
"M1024T193_1",4867.52297050971,3363.81412015947,2420.13717670871,3322.99715009743,2964.43159647568,2946.63455843723,2584.25252518258,2683.36722146257,2113.87348650675,2823.41290671844,2552.11592253654,1942.97815174493,2323.20807200597,1257.89631014409,2184.81729742691,3103.71499743272,2408.68198794704,2644.51003647937,2379.55834979158
"M1024T193_2",2750.50931181101,1712.8740264828,1710.56202932828,1127.63824667861,1345.99465266675,1088.17242129635,2333.87206713347,1370.63989171461,1767.36751302655,1807.62132261823,1902.96669074204,1763.31287211778,2289.62420267879,2301.32091891691,2369.46915353237,1786.18282875432,1257.3349099392,2054.13856037861,1596.74121126041
"M1024T295",681.189816511904,578.135118450414,550.950498565666,810.681033564401,647.013404314138,906.566336447289,589.977923738854,623.17577686349,1050.00534993388,1026.41181634881,968.877174163698,1174.44691053252,996.074645365214,982.666045358236,1028.2900361708,754.298655362188,986.073169238105,817.302985991067,987.315424439519
"M1025T225",9736.53081881323,7252.69264294175,9610.95527706563,9833.6423866435,7911.38566416216,9820.88393565123,8623.07417356679,8732.44315942021,2361.96612871958,2377.97569008939,2247.55212183002,2451.27971594353,2271.66211176545,1468.15466764263,1883.32144278606,1920.97977618561,5389.7129138925,5083.57949819022,5448.430028103
"M1025T288_1",838.957721569446,1151.91524391956,753.366566511859,1172.59824093914,558.092097343722,1261.16869739786,992.838610615265,911.787030951452,1321.93744259113,1531.67303370977,1810.01720618749,1372.74687432263,1366.6235464411,1223.12743763752,1465.6301519199,1402.46469573096,1132.10683264988,1266.61185062085,1178.28720031873
"M1025T288_2",1446.7525444174,1634.141879465,1875.48001517994,1595.63369571688,952.615596205023,1610.75420281787,1786.59772620216,2037.45847489135,2505.92048732262,2094.82592782895,1872.70501285889,2898.09429036441,2249.48792027104,2962.22824041607,2382.41121186183,2274.11830651236,1639.86775071013,1542.26720633757,2043.57642341708
"M1025T295_1",986.798627196223,1221.76197153434,1378.98760352027,1562.22353542432,1104.08542891283,1278.17307747276,1412.951485807,1188.92622580896,1834.59096192027,1714.05999203386,1896.00433791732,1731.92265319431,1827.91263027036,1672.03853406946,1494.61105368088,1583.62660848547,1086.76488358681,1465.68638823603,1454.05255676518
"M1025T295_2",865.694761129757,615.067440930136,894.955742300833,968.923232107046,1156.30243795536,1137.20986018635,1012.12672287109,859.440587105019,1787.04096728578,1562.85486632544,1274.04921939175,2417.24493921223,2904.4934080469,1684.60277870077,1253.09807654392,1168.41382154528,1179.25582565818,1086.20772867023,1521.96856194828
"M1026T205_1",1679.26468666652,1029.17008052955,3783.88459678813,1525.18126219555,1395.73888431957,1507.49208720887,1680.38094414421,2137.88361930421,3393.37381428526,1867.58823189657,2742.05587567055,3498.8891611474,2598.29085633231,1719.87663308082,2281.45843225076,2150.48128707703,2431.18392129406,1718.22032027957,1855.51540491242
"M1026T205_2",1838.93688372218,2251.70772597214,2553.50308929042,2845.8812365989,1722.66918911511,2892.70128555476,2250.21776058617,958.713934713674,1244.93261327505,1310.49678649509,1572.64849586919,1490.75193542506,1341.79386916491,1318.0870120075,2049.81109250167,2004.75777911276,1757.97951577139,2089.61615513514,2360.563863048
"M1026T225_1",12234.1766195217,11321.4142541559,12142.0424456849,13463.7229651739,10142.4267586892,15934.0099665654,11286.9697009801,11772.2753549991,2839.68202236178,3141.49906074899,3605.41645058186,2627.12439246159,3749.21728819737,3195.50755357507,3407.03506135773,3278.78291928227,7168.48368015641,7895.0060471655,8196.56854930015
"M1026T225_2",8604.12258366051,5995.23833589485,6488.83810308067,6948.62697727021,5226.49978268958,7017.10712229599,6179.25901549272,6632.88103970381,1719.78822764556,1116.65191968986,1404.21482348309,1602.01860574451,1457.33498076535,2306.40464236145,1503.46264504186,1876.71441969941,4570.76423372777,4411.58062148025,4377.65880806617
"M1026T288_1",2053.66124232478,1661.61163364207,1499.194815949,2152.01693228462,1486.54549280098,2230.31717688016,1981.62291445255,2517.70464575637,2306.76046901091,2223.72459241295,2162.45538661989,1896.46706289756,2048.75884578869,1978.38495055766,2043.42741745342,1863.81012803757,1947.83374839484,2008.2583466461,2383.5098294638
"M1026T288_2",1100.6483128776,962.386155221283,1070.52234001285,672.717001725975,594.848569310411,1323.84903565715,883.349099452952,850.901973804067,1293.25249033662,1265.18071533381,1146.63753594573,1761.02351320624,1368.35327728973,1528.27870636782,1574.88767802683,1574.58657307955,1090.69813579313,1086.56112095075,1142.22802521126
"M1027T225",3840.52464186313,3774.79048844955,1944.20423376164,6885.07578541013,7590.78709566419,3388.47339576927,6932.33962678673,2669.58308696292,4026.56461941878,3325.97064743796,1469.76372451884,3640.05988512628,3762.62959783249,3906.78031479498,1821.0267679736,3764.27189384143,5107.49219891439,5281.34297489477,4952.09508405128
"M1029T205",1284.83935862038,1874.60816601755,1595.92412718502,1779.58012510141,1599.83550506867,1387.2594974051,1822.68997776918,1564.61457284228,2350.34875693894,1659.19711258455,2750.1684547216,2313.5539109497,2441.81879017085,1991.81466113722,1965.16285208897,2567.94807403278,1795.98897336375,2012.80137395008,1623.75787960906
"M102T43",529.94163285088,543.701911686678,438.379506253446,393.857276423884,471.949388607914,358.522580641521,348.887968962097,533.984904143384,894.792497582864,713.656311339472,605.678845580792,843.918422248147,820.977425598241,845.265309148683,813.765137177195,823.176441972712,416.304232238191,424.676196466153,431.015326729287
"M102T487",977.083958292115,774.567331269197,803.577774726657,1182.89348953265,662.833654068909,682.575970856462,769.171255104008,993.069866343316,1505.21511613577,1890.41191875915,1110.98235929825,1229.17522875104,1465.57232556039,1417.39897699867,841.451404947567,1133.25290833235,741.786831602046,1224.30027184773,1075.0323339567
"M102T494",2436.76816880506,2472.93296368603,2440.25691906404,2436.71078412091,2468.70467782201,2322.54584277221,2064.9389497745,2186.37516397426,2970.35944115957,2882.15253079601,3203.56591424462,3141.24120817034,3060.82201786009,2957.88090973664,2880.96911478116,2977.86911094162,2521.08711693497,2575.53604184587,2551.40398602073
"M102T55",18488.6079652271,8603.56078829481,8967.8604025398,12290.5766990773,11671.5915097762,16417.420730588,10220.022899069,17523.3959211211,15180.9083741841,22063.2740315986,24054.2593429714,13361.825847936,15351.065055782,15443.5920321602,24075.0613070964,12301.8764193202,13471.7650735553,13128.1005224609,8105.04150785541
"M1030T177",2822.50012173809,2604.21318456598,1470.83170835988,843.248017218416,2472.49188185416,1757.49434194473,2760.00045749775,1758.14568501088,2532.36070613141,2230.34680196755,2017.90427796028,1447.74129985865,2266.68407007961,2048.06017667575,1858.84672800019,2437.31191713433,2063.70528321415,2818.15039427673,2651.49344044962
"M1030T303",64.1272886127232,14.8025111490378,61.6399456400763,28.4106619546242,142.122736020321,64.7020152896254,58.8610402350911,12.8490088999537,3744.53227535325,1991.61380882597,1577.73427464734,3208.74151086401,3276.88559326727,2541.5790246588,2902.68594541008,2531.81152210833,1450.03924463361,2125.5089186879,1797.70466970674
"M1031T258",558.161055134956,586.499607687183,486.387936755878,499.863963177119,484.289478737114,354.12260713168,435.445543544153,543.382074436468,1040.56229670331,1098.81916415759,913.994006807274,1054.64282114325,1026.99812953116,961.410986458917,979.791642194056,1001.75913882661,564.405316563748,644.180259953253,512.25827774919
"M1033T288_1",851.135130544125,904.511852654078,850.29798529086,770.360170354193,967.245107683988,783.355695827439,688.605389396886,1452.50053186192,1131.47129516241,792.690412548095,1270.92486950955,875.183932722063,1223.78495104144,821.488581413733,1246.04997443691,1304.00486964752,1095.02383995917,714.376291244748,1157.7121158769
"M1033T288_2",404.804342156102,567.1908939869,635.878043676705,450.114541955385,416.6265191438,417.392344365211,485.422958636764,337.751735313892,707.397005224663,1007.1952113144,997.615509519395,704.525389672425,1042.30577466182,825.541242275977,594.2204900524,588.03649484107,550.408305873865,405.394670427332,470.986132519849
"M1036T218_1",5401.34432868056,1294.54284182891,3074.9750182798,2338.05349471132,862.931692535165,3416.38750870434,1839.37822710508,3659.25212002321,2426.494253193,2233.70810725268,2615.15326107025,1150.63857918346,1981.39472003355,2248.23609876847,1194.62079202953,1357.40481968501,3049.63446187402,3784.2272556995,3444.45866384487
"M1036T251_1",912.967182045325,1500.20358052091,1749.66289115254,1039.12153588165,1993.64077261823,1485.89553524335,1392.28450821461,1567.58170469774,713.068771805747,1057.96251408416,1033.12050688445,589.506636512212,875.327814633396,851.687644708535,688.071623713102,896.410610830779,1517.01429642857,1217.07598143539,1398.26272048884
"M1036T251_2",1356.86609349135,1670.09405936722,1740.43824936391,1343.26276332923,2248.30641042143,1632.14883407378,1618.27164251719,2511.93237463553,1010.58106475158,536.318020263117,767.254981627065,922.288606349964,876.610570136655,902.182959612203,651.33387817962,618.143250879678,1849.98461265552,1250.30212583967,1936.8514798544
